lat,lon,date
41.3743041,2.1889731,05/26/2014 13:08
41.3743191,2.1892515,05/26/2014 13:38
41.378224,2.1880213,05/26/2014 13:53
41.3785324,2.1800437,05/26/2014 14:08
41.3753308,2.1500262,05/26/2014 14:23
41.3782461,2.1470549,05/26/2014 14:38
41.3787708,2.1458582,05/26/2014 15:03
41.378735,2.1458606,05/26/2014 16:02
41.3787608,2.1459235,05/26/2014 16:17
41.3807453,2.148607,05/26/2014 16:37
41.381275,2.1484611,05/26/2014 16:51
41.3787647,2.1458441,05/26/2014 17:06
41.378739,2.1457948,05/26/2014 17:51
41.3802283,2.1492617,05/26/2014 18:21
41.3787705,2.1458991,05/26/2014 19:11
41.3787275,2.1458169,05/26/2014 19:25
41.3787171,2.1458174,05/26/2014 22:10
41.3787212,2.145825,05/27/2014 02:40
41.3787598,2.1458302,05/27/2014 02:55
41.3787458,2.1458597,05/27/2014 03:10
41.3787393,2.145817,05/27/2014 04:55
41.3787286,2.1458172,05/27/2014 08:25
41.3787418,2.1458464,05/27/2014 09:10
41.3838129,2.1291321,05/27/2014 09:40
41.3881618,2.1117328,05/27/2014 09:55
41.387974,2.1114027,05/27/2014 10:10
41.3879057,2.1114107,05/27/2014 10:26
41.3879057,2.1114107,05/27/2014 10:40
41.3882771,2.1118504,05/27/2014 12:10
41.3882554,2.111922,05/27/2014 12:40
41.3882561,2.1119204,05/27/2014 13:10
41.388255,2.111925,05/27/2014 13:40
41.3879053,2.1114105,05/27/2014 13:55
41.3880049,2.1115303,05/27/2014 14:25
41.3861426,2.1116381,05/27/2014 14:40
41.3857026,2.1171113,05/27/2014 14:56
41.3871108,2.1178476,05/27/2014 15:10
41.3867764,2.119224,05/27/2014 15:41
41.3871597,2.1182912,05/27/2014 15:55
41.3787675,2.1458788,05/27/2014 17:10
41.3761571,2.1389209,05/27/2014 17:40
41.376168,2.1389745,05/27/2014 17:55
41.3775004,2.1459167,05/27/2014 19:26
41.3787333,2.1458076,05/27/2014 19:40
41.3787221,2.1457987,05/27/2014 20:10
41.3787422,2.1458435,05/27/2014 21:10
41.3787607,2.1458547,05/27/2014 21:40
41.379224,2.1467062,05/28/2014 09:25
41.374907,2.1440798,05/28/2014 09:40
